Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:31 2026 | 20.50.80.214 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=571
Thu Jan  8 23:06:31 2026 | 20.50.80.214 | NORMAL | Confidence=0.01 | Bytes=153
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=491
Thu Jan  8 23:06:31 2026 | 20.50.80.214 | NORMAL | Confidence=0.08 | Bytes=3894
Thu Jan  8 23:06:31 2026 | 20.50.80.214 | NORMAL | Confidence=0.00 | Bytes=704
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:06:31 2026 | 10.17.192.147 | NORMAL | Confidence=0.08 | Bytes=1214
Thu Jan  8 23:06:32 2026 | 20.50.80.214 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:32 2026 | 20.50.80.214 | NORMAL | Confidence=0.01 | Bytes=157
Thu Jan  8 23:06:32 2026 | 20.50.80.214 | NORMAL | Confidence=0.00 | Bytes=519
Thu Jan  8 23:06:32 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:32 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=78
Thu Jan  8 23:06:32 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:32 2026 | 20.50.80.214 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:32 2026 | 20.50.80.214 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:34 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=162
Thu Jan  8 23:06:35 2026 | 142.250.82.223 | NORMAL | Confidence=0.01 | Bytes=106
Thu Jan  8 23:06:39 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=105
Thu Jan  8 23:06:39 2026 | 4.224.92.204 | NORMAL | Confidence=0.00 | Bytes=94
Thu Jan  8 23:06:39 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:06:40 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=99
Thu Jan  8 23:06:40 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=99
Thu Jan  8 23:06:40 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=195
Thu Jan  8 23:06:40 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=207
Thu Jan  8 23:06:40 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:40 2026 | 140.82.113.21 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:41 2026 | 140.82.113.21 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:43 2026 | 140.82.113.21 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:06:46 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=112
Thu Jan  8 23:06:46 2026 | 4.224.95.102 | NORMAL | Confidence=0.01 | Bytes=101
Thu Jan  8 23:06:46 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:00 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=162
Thu Jan  8 23:07:00 2026 | 142.250.82.223 | NORMAL | Confidence=0.01 | Bytes=106
Thu Jan  8 23:07:02 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=92
Thu Jan  8 23:07:02 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=92
Thu Jan  8 23:07:02 2026 | 10.17.192.107 | NORMAL | Confidence=0.02 | Bytes=224
Thu Jan  8 23:07:02 2026 | 10.17.192.107 | NORMAL | Confidence=0.03 | Bytes=227
Thu Jan  8 23:07:02 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:02 2026 | 104.46.162.226 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=92
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=92
Thu Jan  8 23:07:15 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=212
Thu Jan  8 23:07:15 2026 | 10.17.192.107 | NORMAL | Confidence=0.02 | Bytes=224
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:15 2026 | 140.82.113.21 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:15 2026 | 20.189.173.5 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=571
Thu Jan  8 23:07:15 2026 | 20.189.173.5 | NORMAL | Confidence=0.01 | Bytes=153
Thu Jan  8 23:07:15 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=491
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.08 | Bytes=3894
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.00 | Bytes=706
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1354
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=1090
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.01 | Bytes=157
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.00 | Bytes=519
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=78
Thu Jan  8 23:07:16 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:16 2026 | 20.189.173.5 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:17 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:17 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:17 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:17 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
